customer_id,name,country,age,signup_date,plan,is_paid_plan,monthly_transactions,failed_payments,monthly_revenue,churn_probability,churned
1,Travis Peterson,United States,49,2025-09-06,Basic,False,18,1,2.94,0.18,0
2,Marcus Fernandez,Canada,53,2026-04-01,Basic,False,20,1,3.1,0.18,0
3,Joseph Smith,Japan,54,2025-10-01,Basic,False,12,0,2.46,0.18,0
4,Elizabeth Lewis,France,31,2025-11-18,Silver,True,44,0,7.51,0.12,0
5,Norman Drake,United Kingdom,44,2024-09-16,Basic,False,22,1,3.26,0.18,0
6,Jeremy Ross,United Kingdom,36,2026-07-03,Basic,False,23,0,3.34,0.18,0
7,Edward Huerta,United Kingdom,48,2025-04-12,Gold,True,55,2,12.39,0.12,0
8,Jordan Burton,Australia,63,2024-11-05,Silver,True,33,2,6.630000000000001,0.12,0
9,Mrs. Debra Cook MD,France,26,2026-01-03,Basic,False,21,1,3.1799999999999997,0.18,0
10,Michael Martinez,Japan,55,2025-07-20,Silver,True,48,2,7.83,0.12,0
11,Samuel Frazier,United Kingdom,34,2025-09-15,Silver,True,42,1,7.35,0.12,0
12,Gary Elliott,Canada,36,2026-06-11,Basic,False,14,1,2.62,0.18,0
13,David Pham,Singapore,61,2025-11-23,Gold,True,48,1,11.83,0.12,0
14,Jessica Vaughan,United Kingdom,21,2025-02-18,Gold,True,47,4,11.75,0.16999999999999998,0
15,Eddie Hansen,United Kingdom,28,2025-07-14,Gold,True,52,3,12.15,0.16999999999999998,0
16,Jennifer Flores,United Kingdom,39,2026-01-08,Gold,True,33,2,10.63,0.12,0
17,Kristin Kelley,United Kingdom,21,2024-10-30,Silver,True,52,1,8.15,0.12,0
18,Bradley Thompson,Germany,34,2026-01-24,Silver,True,38,1,7.03,0.12,0
19,Alexander Hickman,United States,25,2025-09-20,Silver,True,52,4,8.15,0.16999999999999998,0
20,Jennifer Williams,United Kingdom,63,2026-06-30,Gold,True,47,0,11.75,0.12,0
21,Miss Kara Rodriguez,France,51,2026-05-08,Silver,True,47,3,7.75,0.16999999999999998,0
22,Alexandria Lee,United Kingdom,28,2025-08-15,Basic,False,20,0,3.1,0.18,0
23,William Oliver,United Kingdom,48,2025-05-29,Basic,False,26,2,3.58,0.18,1
24,Chris Hopkins,United States,28,2025-02-05,Gold,True,48,2,11.83,0.12,0
25,Teresa Walker,United States,55,2025-01-05,Basic,False,23,1,3.34,0.18,0
26,Tiffany Estrada,Singapore,38,2026-07-02,Silver,True,40,2,7.19,0.12,1
27,Rebecca Long,United Kingdom,63,2025-04-04,Platinum,True,56,3,19.47,0.16999999999999998,0
28,Nicole Reese,Germany,47,2026-05-14,Silver,True,48,2,7.83,0.12,0
29,Nicole Thompson,France,27,2025-03-22,Platinum,True,33,1,17.63,0.12,0
30,Sara Romero,United Kingdom,43,2025-10-29,Silver,True,51,1,8.07,0.12,0
31,William Hill,France,44,2026-06-06,Basic,False,19,2,3.02,0.18,0
32,Daniel Johnson,United Kingdom,25,2025-06-15,Gold,True,38,1,11.030000000000001,0.12,0
33,Amber Mclaughlin,United Kingdom,56,2024-09-23,Basic,False,20,1,3.1,0.18,0
34,Mark Brown,Australia,25,2025-02-16,Basic,False,26,4,3.58,0.22999999999999998,0
35,Raymond Smith,Canada,25,2025-12-21,Basic,False,20,1,3.1,0.18,0
